title,company,seniority,role_family,skills
Analytics Engineer Data Analytics Engineer,eDesign SA,Mid,Data Analyst,Dashboards/Reporting
"Senior Specialist, IT Business Intelligence II",Ma'aden Legal Employer,Senior,BI Developer,Azure
"Senior Specialist, IT Business Intelligence II",Ma'aden Legal Employer,Senior,BI Developer,Machine Learning
"Senior Specialist, IT Business Intelligence II",Ma'aden Legal Employer,Senior,BI Developer,GenAI / LLMs
"Senior Specialist, IT Business Intelligence II",Ma'aden Legal Employer,Senior,BI Developer,Oracle
"Senior Specialist, IT Business Intelligence II",Ma'aden Legal Employer,Senior,BI Developer,Docker/K8s
"Senior Specialist, IT Business Intelligence II",Ma'aden Legal Employer,Senior,BI Developer,Communication
Business Analyst (Data Warehouse And Analytics),DeepSource Technologies,Mid,Data Analyst,SQL
Business Analyst (Data Warehouse And Analytics),DeepSource Technologies,Mid,Data Analyst,Spark
Business Analyst (Data Warehouse And Analytics),DeepSource Technologies,Mid,Data Analyst,ETL
Business Analyst (Data Warehouse And Analytics),DeepSource Technologies,Mid,Data Analyst,Data Warehousing
Business Analyst (Data Warehouse And Analytics),DeepSource Technologies,Mid,Data Analyst,Hadoop
Business Analyst (Data Warehouse And Analytics),DeepSource Technologies,Mid,Data Analyst,Agile
Business Analyst (Data Warehouse And Analytics),DeepSource Technologies,Mid,Data Analyst,Data Governance
Business Analyst (Data Warehouse And Analytics),DeepSource Technologies,Mid,Data Analyst,Communication
Business Analyst (Data Warehouse And Analytics),DeepSource Technologies,Mid,Data Analyst,Dashboards/Reporting
Business Intelligence & Data Specialist,Saudi Business Machines,Senior,BI Developer,SQL
Business Intelligence & Data Specialist,Saudi Business Machines,Senior,BI Developer,Statistics
Business Intelligence & Data Specialist,Saudi Business Machines,Senior,BI Developer,Communication
Business Intelligence & Data Specialist,Saudi Business Machines,Senior,BI Developer,Dashboards/Reporting
Manager Data & Business Intelligence,Foreground,Lead/Manager+,BI Developer,SQL
Manager Data & Business Intelligence,Foreground,Lead/Manager+,BI Developer,Power BI
Manager Data & Business Intelligence,Foreground,Lead/Manager+,BI Developer,Tableau
Manager Data & Business Intelligence,Foreground,Lead/Manager+,BI Developer,Azure
Manager Data & Business Intelligence,Foreground,Lead/Manager+,BI Developer,Dashboards/Reporting
Business Intelligence Senior Specialist - Shared Services,Propel Consult,Senior,BI Developer,SQL
Business Intelligence Senior Specialist - Shared Services,Propel Consult,Senior,BI Developer,Power BI
Business Intelligence Senior Specialist - Shared Services,Propel Consult,Senior,BI Developer,Tableau
Business Intelligence Senior Specialist - Shared Services,Propel Consult,Senior,BI Developer,Qlik
Business Intelligence Senior Specialist - Shared Services,Propel Consult,Senior,BI Developer,Data Warehousing
Business Intelligence Senior Specialist - Shared Services,Propel Consult,Senior,BI Developer,SQL Server
Business Intelligence Senior Specialist - Shared Services,Propel Consult,Senior,BI Developer,Communication
Business Intelligence Senior Specialist - Shared Services,Propel Consult,Senior,BI Developer,Dashboards/Reporting
Market Intelligence and Business Origination,MAWREF Logistics Solutions,Lead/Manager+,Other Data Role,Communication
Business Intelligence,TechnohandZ Global,Mid,BI Developer,SQL
Business Intelligence,TechnohandZ Global,Mid,BI Developer,Power BI
Business Intelligence,TechnohandZ Global,Mid,BI Developer,Tableau
Business Intelligence,TechnohandZ Global,Mid,BI Developer,Qlik
Business Intelligence,TechnohandZ Global,Mid,BI Developer,Data Warehousing
Business Intelligence,TechnohandZ Global,Mid,BI Developer,SQL Server
Business Intelligence,TechnohandZ Global,Mid,BI Developer,Dashboards/Reporting
Senior Specialist Business Intelligence,Qiddiya Investment Company,Senior,BI Developer,Power BI
Senior Specialist Business Intelligence,Qiddiya Investment Company,Senior,BI Developer,Communication
Senior Specialist Business Intelligence,Qiddiya Investment Company,Senior,BI Developer,Dashboards/Reporting
Senior BI Developer (Power BI & Sigma Computing),MBUZZ,Senior,BI Developer,SQL
Senior BI Developer (Power BI & Sigma Computing),MBUZZ,Senior,BI Developer,Power BI
Senior BI Developer (Power BI & Sigma Computing),MBUZZ,Senior,BI Developer,dbt
Senior BI Developer (Power BI & Sigma Computing),MBUZZ,Senior,BI Developer,Data Warehousing
Senior BI Developer (Power BI & Sigma Computing),MBUZZ,Senior,BI Developer,Statistics
Senior BI Developer (Power BI & Sigma Computing),MBUZZ,Senior,BI Developer,Communication
Senior BI Developer (Power BI & Sigma Computing),MBUZZ,Senior,BI Developer,Dashboards/Reporting
Residential Analytics & Insights Manager,Red Sea Global,Lead/Manager+,Data Analyst,Excel
Residential Analytics & Insights Manager,Red Sea Global,Lead/Manager+,Data Analyst,Communication
Residential Analytics & Insights Manager,Red Sea Global,Lead/Manager+,Data Analyst,Dashboards/Reporting
BI and Data Analytics Manager,Starlinks Global,Lead/Manager+,Data Analyst,SQL
BI and Data Analytics Manager,Starlinks Global,Lead/Manager+,Data Analyst,Power BI
BI and Data Analytics Manager,Starlinks Global,Lead/Manager+,Data Analyst,Tableau
BI and Data Analytics Manager,Starlinks Global,Lead/Manager+,Data Analyst,Qlik
BI and Data Analytics Manager,Starlinks Global,Lead/Manager+,Data Analyst,AWS
BI and Data Analytics Manager,Starlinks Global,Lead/Manager+,Data Analyst,Azure
BI and Data Analytics Manager,Starlinks Global,Lead/Manager+,Data Analyst,GCP
BI and Data Analytics Manager,Starlinks Global,Lead/Manager+,Data Analyst,ETL
BI and Data Analytics Manager,Starlinks Global,Lead/Manager+,Data Analyst,Data Warehousing
BI and Data Analytics Manager,Starlinks Global,Lead/Manager+,Data Analyst,Data Governance
BI and Data Analytics Manager,Starlinks Global,Lead/Manager+,Data Analyst,Communication
BI and Data Analytics Manager,Starlinks Global,Lead/Manager+,Data Analyst,Dashboards/Reporting
MEA Data Center Market Intelligence Analyst,SwiftCruit,Mid,Data Analyst,Arabic
MEA Data Center Market Intelligence Analyst,SwiftCruit,Mid,Data Analyst,Communication
Senior Data & Analytics Business Analyst,datascience,Senior,Data Analyst,Data Governance
Remote Data Analyst — Power BI & Dashboards,ASSYSTEM,Mid,BI Developer,Python
Remote Data Analyst — Power BI & Dashboards,ASSYSTEM,Mid,BI Developer,SQL
Remote Data Analyst — Power BI & Dashboards,ASSYSTEM,Mid,BI Developer,Power BI
Remote Data Analyst — Power BI & Dashboards,ASSYSTEM,Mid,BI Developer,Excel
Remote Data Analyst — Power BI & Dashboards,ASSYSTEM,Mid,BI Developer,Dashboards/Reporting
Healthcare BI & Data Insights Specialist,Saudi Business Machines,Senior,Other Data Role,SQL
Healthcare BI & Data Insights Specialist,Saudi Business Machines,Senior,Other Data Role,Communication
Saudi Data Analytics Engineer: Power BI & ETL,Raqmiyat,Mid,BI Developer,SQL
Saudi Data Analytics Engineer: Power BI & ETL,Raqmiyat,Mid,BI Developer,Power BI
Saudi Data Analytics Engineer: Power BI & ETL,Raqmiyat,Mid,BI Developer,ETL
Business Analyst: BI Dashboards & Transformation,Arla Foods,Mid,Data Analyst,Power BI
Business Analyst: BI Dashboards & Transformation,Arla Foods,Mid,Data Analyst,Dashboards/Reporting
BI Manager,Starlinks Global,Lead/Manager+,Other Data Role,Power BI
BI Manager,Starlinks Global,Lead/Manager+,Other Data Role,Azure
BI Manager,Starlinks Global,Lead/Manager+,Other Data Role,Data Governance
BI Manager,Starlinks Global,Lead/Manager+,Other Data Role,Communication
BI Manager,Starlinks Global,Lead/Manager+,Other Data Role,Dashboards/Reporting
Business Analyst | Sales & Service | Riyadh | KSA Nationals,Deloitte,Mid,Data Analyst,Excel
Business Analyst | Sales & Service | Riyadh | KSA Nationals,Deloitte,Mid,Data Analyst,Arabic
Senior AI BI Engineer – Azure GenAI & LLMs,Ma'aden Aluminium Company (MAC),Senior,Data Scientist,Azure
